date,total
2021-01-01,4684786634
2021-01-02,1760078303
2021-01-03,1421468345
2021-01-04,5332534467
2021-01-05,4346754338
2021-01-06,5755266849
2021-01-07,4351067563
2021-01-08,4718669436
2021-01-09,1661831858
2021-01-10,1378768066
2021-01-11,4750844198
2021-01-12,4492778855
2021-01-13,4443159436
2021-01-14,5165556544
2021-01-15,5257226354
2021-01-16,1949257938
2021-01-17,1192224555
2021-01-18,5580358014
2021-01-19,5148422199
2021-01-20,5522812087
2021-01-21,5078030844
2021-01-22,5752120161
2021-01-23,1985487893
2021-01-24,1189433356
2021-01-25,6201844302
2021-01-26,5228388340
2021-01-27,5243625050
2021-01-28,5656331864
2021-01-29,5244489683
2021-01-30,1987056807
2021-01-31,1464329437
2021-02-01,4971887674
2021-02-02,4366401560
2021-02-03,4334799580
2021-02-04,5405170765
2021-02-05,5259254823
2021-02-06,1858433310
2021-02-07,1280537448
2021-02-08,5332662066
2021-02-09,5058564976
2021-02-10,5384285568
2021-02-11,5025647938
2021-02-12,5537294777
2021-02-13,1955191573
2021-02-14,1296026651
2021-02-15,5538818330
2021-02-16,5285176772
2021-02-17,5039048582
2021-02-18,5027781210
2021-02-19,5567900923
2021-02-20,2315895765
2021-02-21,1332611195
2021-02-22,5873007084
2021-02-23,5247474680
2021-02-24,5414078245
2021-02-25,6522235567
2021-02-26,5469778397
2021-02-27,1816643811
2021-02-28,1604752021
2021-03-01,4841287309
2021-03-02,4668582894
2021-03-03,4745581600
2021-03-04,4926791095
2021-03-05,5807470196
2021-03-06,2024269004
2021-03-07,1282634663
2021-03-08,5822577134
2021-03-09,5302091064
2021-03-10,5606527740
2021-03-11,5169134558
2021-03-12,5615450820
2021-03-13,1965586554
2021-03-14,1258569798
2021-03-15,5611497508
2021-03-16,5391968551
2021-03-17,5363792107
2021-03-18,5403063409
2021-03-19,5829951810
2021-03-20,2476323274
2021-03-21,1258359212
2021-03-22,5852280854
2021-03-23,5861493186
2021-03-24,5700864582
2021-03-25,6404167040
2021-03-26,6044452801
2021-03-27,2092511852
2021-03-28,1365290028
2021-03-29,6407711363
2021-03-30,7106807407
2021-03-31,5661300328
2021-04-01,5861315350
2021-04-02,5919045588
2021-04-03,1762774756
2021-04-04,1386704007
2021-04-05,6076480924
2021-04-06,4823500541
2021-04-07,5176847406
2021-04-08,5284023287
2021-04-09,5759198001
2021-04-10,2484159758
2021-04-11,1320710245
2021-04-12,5710810110
2021-04-13,5332064513
2021-04-14,5444696924
2021-04-15,5580035297
2021-04-16,6154584044
2021-04-17,1985347421
2021-04-18,1310188144
2021-04-19,6025901684
2021-04-20,6503242684
2021-04-21,5113763898
2021-04-22,6363591597
2021-04-23,5531012350
2021-04-24,1891754792
