date,columna1,columna2,columna3,columna4,columna5,columna6,columna7,columna8,columna9,columna10,columna11,columna12,columna13,columna14,columna15,columna16,columna17,columna18,columna19,columna20,columna21,columna22,columna23,columna24,columna25,columna26,columna27,columna28,columna29,columna30,columna31,columna32,columna33
2017-07-01,2754722200,2260164304,189411090,37562573,1641714,7238623,815284,6182564,255507,3648965,14208001,1297220,37142261,1231870,77453393,733115,83426742,98120980,51888690,20082086,26150204,839350484,9679619,274592946,555077919,417960517,17837550,119279852,58287219,54696676,35841083,18855593,694250853
2017-07-02,496398043,441390132,30471088,14172715,94217,1504285,851475,1404586,218481,1455406,2802208,71529,6331795,188076,206682,1169633,35714547,820919,511196,56027,253696,266255685,1859468,74007406,190388811,126768711,8344824,55275276,30350982,45704767,33584251,12120516,39118107
2017-07-03,3613663988,2513714543,461897583,133271611,32849670,14837034,24160752,42500221,27446020,27829312,64006235,7799477,50451493,15130302,17816753,3798703,474856314,77699176,39649271,19491820,18558085,1313102893,106870305,720954233,485278355,318132132,15374853,151771370,62110148,71145994,44558286,26587708,311676826
2017-07-04,2884504687,2382079221,503796228,137728754,31089606,13327892,13650226,45213533,44506411,32400296,52897997,12409378,67117306,9632131,42201886,1620812,290553460,122781817,86313384,12606899,23861534,1255527749,128712290,715176059,411639400,281361939,14290729,115986732,52953749,59665704,36987007,22678697,235738583
2017-07-05,2729431284,2290164997,522791428,148143902,27526843,15588568,16647261,53950978,33415852,40089654,54776766,14307381,68280453,10981044,34628666,4454060,221809220,102106524,60150514,23051517,18904493,1243873373,150362389,692424761,401086223,274768925,14590430,111726868,65212086,51133355,39894610,11238745,126195680
2017-07-06,2779410880,2328330317,648950693,157859182,32960737,16142437,16263694,54167654,53718086,40408920,63348861,16247953,95779087,8299149,57097937,36656996,316152802,26893001,107107,8481514,18304380,1276895250,160902214,715169056,400823980,281828808,13560743,105434429,60256772,53505891,41451757,12054134,61360714
2017-07-07,3154023733,2765048520,791229371,215790630,63349710,26254261,23411045,59816130,38666155,62035050,91561926,18305406,102102402,16106144,22588319,51242193,206520639,59961358,30816398,8785120,20359840,1484877972,173770396,880717195,430390381,298615224,21851157,109924000,91440294,60325603,45950143,14375460,79456022
2017-07-08,1089580126,1046603828,121698962,64081782,1182230,3884646,7783055,4209750,2527969,9084268,4696507,6244337,12506681,988722,528789,3980226,10218780,2637024,1643586,417292,576146,712648213,14594331,242673624,455380258,353551304,13802587,88026367,18665369,48349095,34214197,14134898,102942952
2017-07-09,360282319,319583083,53666933,23751730,161740,1078901,4257466,1189413,227583,6112580,2807319,3828358,6986368,2686073,524023,55379,18367364,2072667,1060625,648819,363223,146368017,3936808,46329143,96102066,61834924,9218938,25048204,28488435,48604250,35283796,13320454,8318903
2017-07-10,3476252814,2872126326,646460608,177239518,34983770,23369931,30517372,51813042,36378411,63699120,85415327,17823434,71381887,14151566,30195552,9491678,234335247,83187522,37998596,18474688,26714238,1598490869,164223294,1065446805,368820770,233980831,18094957,116744982,144542471,59442859,47541563,11901296,121505859
2017-07-11,3534978634,2674684390,603655335,159084018,31400641,21480659,17303434,56065177,29147498,46696078,67051349,12593560,85872424,10706574,23839620,42414303,320980356,69036075,37575556,11168118,20292401,1326516579,151049967,829343129,346123483,206913176,18044121,121166186,157748219,53877661,42113980,11763681,77755561
2017-07-12,2827840800,2400607489,578921227,159958999,28973440,23613876,18844298,54898430,43270987,40521708,59775313,17005520,84523700,12871498,22443561,12219897,245245444,69027855,34851445,11670405,22506005,1278098554,190083526,772382225,315632803,198816743,13975192,102840868,78385984,54704499,41656191,13048308,117051626
2017-07-13,2721586378,2345230319,587521427,159432807,26828128,22788543,19759666,57262795,35790637,41614720,47473200,15544825,84935142,11065292,16462624,48563048,194594829,69846865,28323336,21951628,19571901,1302374935,149898406,824878109,327598420,207999031,15167997,104431392,113974545,50994568,38083907,12910661,57073909
2017-07-14,3501070054,2946391618,801535008,224398501,33630277,25400721,43460980,72937072,39124303,75177422,100207300,21795827,92843465,23836691,31212057,17510392,315835129,79968675,42289050,9382573,28297052,1627449384,210774766,1043763260,372911358,246163197,22465106,104283055,86677181,63189208,46098114,17091094,83286635
2017-07-15,2153242858,2022903739,526444546,92859925,15842801,14198318,50195016,38428804,2642377,76199909,59261942,25257198,112448840,12914921,6915582,19278913,31091203,19303222,8782791,3248323,7272108,1041661076,92360897,553265324,396034855,280771462,24906029,90357364,68242158,51597062,36748333,14848729,63029365
